Source,Target,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
RAB7A,SNX3,9606.ENSP00000265062,9606.ENSP00000230085,0,0,0,0,0.089,0.316,0,0.851,0.899
RAB7A,SNX1,9606.ENSP00000265062,9606.ENSP00000261889,0,0,0,0,0.064,0.368,0,0.804,0.874
RAB7A,TBC1D5,9606.ENSP00000265062,9606.ENSP00000402935,0,0,0,0,0.065,0.166,0,0.732,0.773
RAB7A,SNX6,9606.ENSP00000265062,9606.ENSP00000355217,0,0,0,0,0.092,0.349,0,0.67,0.788
RAB7A,SNX5,9606.ENSP00000265062,9606.ENSP00000366998,0,0,0,0,0.062,0.348,0,0.701,0.801
RAB7A,VPS26B,9606.ENSP00000265062,9606.ENSP00000281187,0,0,0,0,0.105,0.347,0,0.705,0.812
RAB7A,SNX2,9606.ENSP00000265062,9606.ENSP00000368831,0,0,0,0,0.065,0.368,0,0.75,0.839
RAB7A,VPS29,9606.ENSP00000265062,9606.ENSP00000480853,0,0,0,0,0.066,0.595,0,0.892,0.956
RAB7A,VPS26A,9606.ENSP00000265062,9606.ENSP00000362480,0,0,0,0,0.129,0.502,0,0.945,0.974
RAB7A,VPS35,9606.ENSP00000265062,9606.ENSP00000299138,0,0,0,0,0.098,0.855,0,0.986,0.998
SNX1,SNX3,9606.ENSP00000261889,9606.ENSP00000230085,0,0,0,0.743,0.107,0.395,0,0.961,0.576
SNX1,RAB7A,9606.ENSP00000261889,9606.ENSP00000265062,0,0,0,0,0.064,0.368,0,0.804,0.874
SNX1,SNX2,9606.ENSP00000261889,9606.ENSP00000368831,0,0,0,0.954,0.042,0.763,0.9,0.989,0.976
SNX1,TBC1D5,9606.ENSP00000261889,9606.ENSP00000402935,0,0,0,0,0.062,0.389,0.9,0.674,0.978
SNX1,VPS26B,9606.ENSP00000261889,9606.ENSP00000281187,0,0,0,0,0.096,0.9,0.72,0.84,0.995
SNX1,SNX5,9606.ENSP00000261889,9606.ENSP00000366998,0,0,0,0.607,0.108,0.948,0.9,0.986,0.996
SNX1,SNX6,9606.ENSP00000261889,9606.ENSP00000355217,0,0,0,0.59,0.087,0.964,0.9,0.976,0.997
SNX1,VPS29,9606.ENSP00000261889,9606.ENSP00000480853,0,0,0,0,0.064,0.94,0.9,0.991,0.999
SNX1,VPS35,9606.ENSP00000261889,9606.ENSP00000299138,0,0,0,0,0.065,0.941,0.9,0.994,0.999
SNX1,VPS26A,9606.ENSP00000261889,9606.ENSP00000362480,0,0,0,0,0.097,0.918,0.9,0.991,0.999
SNX2,SNX3,9606.ENSP00000368831,9606.ENSP00000230085,0,0,0,0.747,0.131,0.398,0,0.922,0.581
SNX2,SNX1,9606.ENSP00000368831,9606.ENSP00000261889,0,0,0,0.954,0.042,0.763,0.9,0.989,0.976
SNX2,RAB7A,9606.ENSP00000368831,9606.ENSP00000265062,0,0,0,0,0.065,0.368,0,0.75,0.839
SNX2,VPS26B,9606.ENSP00000368831,9606.ENSP00000281187,0,0,0,0,0.1,0.901,0.72,0.798,0.994
SNX2,VPS35,9606.ENSP00000368831,9606.ENSP00000299138,0,0,0,0,0.1,0.971,0.9,0.974,0.999
SNX2,SNX6,9606.ENSP00000368831,9606.ENSP00000355217,0,0,0,0.587,0.085,0.964,0.9,0.969,0.997
SNX2,VPS26A,9606.ENSP00000368831,9606.ENSP00000362480,0,0,0,0,0.179,0.919,0.9,0.962,0.999
SNX2,SNX5,9606.ENSP00000368831,9606.ENSP00000366998,0,0,0,0.631,0.165,0.798,0.9,0.993,0.988
SNX2,TBC1D5,9606.ENSP00000368831,9606.ENSP00000402935,0,0,0,0,0.062,0.394,0.9,0.647,0.977
SNX2,VPS29,9606.ENSP00000368831,9606.ENSP00000480853,0,0,0,0,0.065,0.972,0.9,0.943,0.999
SNX3,SNX1,9606.ENSP00000230085,9606.ENSP00000261889,0,0,0,0.743,0.107,0.395,0,0.961,0.576
SNX3,SNX2,9606.ENSP00000230085,9606.ENSP00000368831,0,0,0,0.747,0.131,0.398,0,0.922,0.581
SNX3,TBC1D5,9606.ENSP00000230085,9606.ENSP00000402935,0,0,0,0,0.062,0.397,0,0.659,0.79
